px	py	v	yaw_angle	yaw_rate	px_measured	py_measured	px_true	py_true	vx_true	vy_true	NIS
0.1	0.1	0	0	0	0	0	0	0	0	0	2.3396e-314
0.349632	-0.359588	0	0	0	0	0	0	0	0	0	2.51128
1.52313	-0.12379	0.545231	3.72966e-17	2.08167e-17	1.55945	-0.138501	2.09897	0.0522228	2.19595	0.109339	2.3396e-314
1.62196	0.0179045	1.65267	-0.069622	-0.0361823	1.81209	0.0474826	2.09897	0.0522228	2.19595	0.109339	8.59793
3.74848	0.0142705	3.26542	-1.44884	0.255961	3.89093	-0.134166	4.29136	0.215312	2.28434	0.226323	2.3396e-314
3.83139	0.141783	3.36154	-0.593459	-0.154132	4.19528	0.218461	4.29136	0.215312	2.28434	0.226323	3.15218
6.88249	0.374583	2.65227	0.541961	1.08716	6.86352	0.416817	6.56942	0.496096	2.36382	0.348847	2.3396e-314
6.79863	0.40243	2.65151	0.475571	0.973572	6.43926	0.472879	6.56942	0.496096	2.36382	0.348847	2.13399
9.09397	0.677611	1.60025	0.326617	0.182942	9.07733	0.593211	8.92437	0.89924	2.43359	0.474526	2.3396e-314
9.11019	0.782729	2.27468	0.334879	0.19617	8.89749	0.886982	8.92437	0.89924	2.43359	0.474526	4.65159
11.5163	1.64752	2.83378	0.364658	0.0676172	11.5756	1.6669	11.3468	1.427	2.49328	0.600781	2.3396e-314
11.4886	1.61194	2.68777	0.366266	0.08638	11.4447	1.42958	11.3468	1.427	2.49328	0.600781	0.522022
13.617	2.32586	2.41156	0.331942	0.00228713	13.5921	2.31191	13.827	2.07905	2.5429	0.724947	2.3396e-314
13.638	2.29303	2.52893	0.300246	-0.0320505	13.6572	1.99915	13.827	2.07905	2.5429	0.724947	0.728499
16.5586	2.88507	3.35089	0.118872	-0.14992	16.6456	2.903	16.3554	2.85243	2.58284	0.844365	2.3396e-314
16.4726	2.86168	2.97415	0.112378	-0.164886	16.282	2.84648	16.3554	2.85243	2.58284	0.844365	1.65466
19.0236	3.69332	2.82892	0.361703	0.142958	19.0106	3.70555	18.923	3.74161	2.61382	0.95648	2.3396e-314
19.0673	3.7188	2.70643	0.39625	0.19509	19.363	3.87122	18.923	3.74161	2.61382	0.95648	1.60679
21.3291	4.73538	2.70108	0.481578	0.110551	21.3312	4.73205	21.5215	4.73855	2.63679	1.05891	2.3396e-314
21.3945	4.74521	2.86584	0.456008	0.0761665	21.6213	4.74762	21.5215	4.73855	2.63679	1.05891	0.865693
24.0554	5.57042	3.01153	0.215918	-0.169381	24.0787	5.56967	24.1437	5.83295	2.65286	1.14953	2.3396e-314
24.154	5.59982	3.1363	0.200368	-0.185038	24.5601	5.92334	24.1437	5.83295	2.65286	1.14953	3.06722
26.6347	6.9481	2.85991	0.560645	0.223157	26.6052	6.96102	26.7833	7.01246	2.6632	1.22647	2.3396e-314
26.638	6.93458	3.02381	0.522928	0.154244	26.5419	6.90075	26.7833	7.01246	2.6632	1.22647	0.439391
29.5432	8.07889	3.36087	0.27248	-0.179734	29.5864	8.08789	29.4352	8.26299	2.66893	1.28822	2.3396e-314
29.518	8.06798	3.16185	0.270707	-0.187238	29.4716	8.24519	29.4352	8.26299	2.66893	1.28822	0.39868
31.9652	9.86326	2.97422	0.757035	0.326413	31.9416	9.88017	32.0955	9.56901	2.67105	1.33358	2.3396e-314
31.9339	9.83468	3.02377	0.716466	0.258255	31.7928	9.49891	32.0955	9.56901	2.67105	1.33358	0.897438
34.6082	10.7329	2.64914	0.196967	-0.346154	34.6157	10.6988	34.7608	10.9139	2.67035	1.3617	2.3396e-314
34.7096	10.7805	2.94298	0.179831	-0.346956	35.0599	10.9953	34.7608	10.9139	2.67035	1.3617	2.71619
37.1633	12.0634	2.69185	0.541229	0.194045	37.1404	12.0883	37.4287	12.2803	2.66736	1.37209	2.3396e-314
37.2557	12.078	3.00902	0.52464	0.143882	37.4973	12.2943	37.4287	12.2803	2.66736	1.37209	1.90683
40.2633	13.441	3.62713	0.33065	-0.145302	40.3285	13.4666	40.0971	13.6505	2.66232	1.36459	2.3396e-314
40.1763	13.4041	3.20727	0.334352	-0.151602	39.9009	13.6243	40.0971	13.6505	2.66232	1.36459	1.99539
42.7768	14.8214	3.13713	0.529232	0.112659	42.7664	14.8294	42.7638	15.0065	2.65515	1.33938	2.3396e-314
42.7604	14.8148	3.17009	0.519573	0.0943105	42.5714	14.9817	42.7638	15.0065	2.65515	1.33938	0.250385
45.3369	16.5402	3.39561	0.632951	0.101847	45.3572	16.5524	45.4265	16.3307	2.64546	1.29701	2.3396e-314
45.37	16.5541	3.34251	0.642607	0.12875	45.649	16.5213	45.4265	16.3307	2.64546	1.29701	0.902424
48.1749	17.3216	2.83204	0.173876	-0.318508	48.1541	17.2835	48.0823	17.6063	2.6326	1.23832	2.3396e-314
48.1482	17.317	2.8197	0.184283	-0.306892	47.9331	17.5349	48.0823	17.6063	2.6326	1.23832	0.254439
50.6192	19.0353	2.78113	0.855457	0.458994	50.6228	19.0721	50.7276	18.8172	2.61569	1.16454	2.3396e-314
50.6257	18.9972	3.01991	0.767344	0.304178	50.5737	18.7834	50.7276	18.8172	2.61569	1.16454	0.986196
53.6899	19.9211	2.83662	0.00805615	-0.543367	53.7268	19.8982	53.3577	19.9486	2.59372	1.07716	2.3396e-314
53.66	19.9193	2.86904	0.0340395	-0.505135	53.5277	19.862	53.3577	19.9486	2.59372	1.07716	0.310787
56.0711	21.0443	2.24474	0.492593	0.226372	56.0322	21.0923	55.9669	20.9874	2.56561	0.978022	2.3396e-314
56.0686	21.0099	2.5473	0.446931	0.148288	55.867	20.985	55.9669	20.9874	2.56561	0.978022	1.39511
58.6225	21.7782	2.88266	0.209361	-0.162401	58.6632	21.7821	58.5484	21.9225	2.53033	0.869205	2.3396e-314
58.628	21.7819	2.8974	0.210279	-0.160966	58.5799	21.9815	58.5484	21.9225	2.53033	0.869205	0.0212258
60.9013	22.7806	2.60284	0.424043	0.110603	60.8722	22.7876	61.0941	22.7449	2.48697	0.753031	2.3396e-314
60.8836	22.7685	2.66486	0.410711	0.0920593	60.7648	22.6398	61.0941	22.7449	2.48697	0.753031	0.380851
63.3662	23.4113	2.77243	0.193707	-0.144692	63.3821	23.4069	63.5955	23.4479	2.43482	0.631987	2.3396e-314
63.4286	23.4253	2.70231	0.166573	-0.189003	63.7478	23.7442	63.5955	23.4479	2.43482	0.631987	2.36595
66.286	23.9803	3.21631	0.225385	0.0174027	66.3403	23.9959	66.0431	24.0276	2.37349	0.508655	2.3396e-314
66.159	23.9379	2.61537	0.181483	-0.0459823	65.8838	23.9541	66.0431	24.0276	2.37349	0.508655	3.92128
68.2887	24.3621	2.35244	0.186525	-0.0117266	68.262	24.3582	68.4273	24.4824	2.30293	0.385623	2.3396e-314
68.3736	24.3939	2.52705	0.206306	0.0109858	68.6759	24.6059	68.4273	24.4824	2.30293	0.385623	1.87273
70.8049	24.8783	2.74681	0.214994	0.0122001	70.8275	24.8844	70.7384	24.8137	2.22347	0.265395	2.3396e-314
70.751	24.8554	2.44002	0.192269	-0.0267358	70.7403	24.6728	70.7384	24.8137	2.22347	0.265395	0.903614
72.9094	24.7295	2.27899	-0.157375	-0.269559	72.8923	24.7135	72.9675	25.025	2.13584	0.150292	2.3396e-314
72.9561	24.7496	2.3696	-0.139949	-0.246087	73.0732	25.0343	72.9675	25.025	2.13584	0.150292	0.60885
75.0147	25.2275	2.01365	0.314735	0.270292	75.0021	25.2595	75.1062	25.1224	2.04114	0.0423626	2.3396e-314
75.0069	25.2214	2.03781	0.308538	0.263914	74.9748	25.1377	75.1062	25.1224	2.04114	0.0423626	0.0518615
