px	py	v	yaw_angle	yaw_rate	px_measured	py_measured	px_true	py_true	vx_true	vy_true	NIS
0.312243	0.58034	0	0	0	0.312243	0.58034	0.6	0.6	5.19994	0	2.15412e-314
-0.962981	-0.621671	-15.6713	-6.52251e-16	-7.45239e-17	0.862916	0.534212	0.859997	0.600045	5.19975	0.00179686	3.24119
1.16259	0.439133	11.3675	-0.850745	-0.0771297	1.17385	0.481073	1.11998	0.600225	5.19943	0.00538996	2.15412e-314
1.24457	0.524309	4.79413	-0.330106	0.0424018	0.969149	0.397513	1.37996	0.600629	5.19898	0.0107781	2.41139
1.60551	0.545449	5.95473	-0.184208	0.0774051	1.65063	0.62469	1.6399	0.601347	5.19839	0.0179597	2.15412e-314
1.8448	0.550384	5.64534	-0.100013	0.200738	1.62331	0.499091	1.89982	0.60247	5.19766	0.0269323	0.924149
2.15064	0.55725	5.60476	-0.0511284	0.286794	2.18882	0.648739	2.1597	0.604086	5.19678	0.0376932	2.15412e-314
2.3636	0.627152	5.23815	0.0882706	0.75294	1.96701	0.557117	2.41954	0.606284	5.19573	0.0502389	3.36137
2.63017	0.656941	5.24653	0.126354	0.746228	2.65526	0.66598	2.67932	0.609155	5.1945	0.0645654	2.15412e-314
2.89679	0.661138	5.28301	0.11497	0.568461	2.92034	0.645898	2.93904	0.612786	5.19309	0.080668	0.140479
3.12517	0.680611	5.24809	0.137004	0.560982	3.01222	0.637046	3.19869	0.617267	5.19147	0.0985415	2.15412e-314
3.42068	0.577635	5.28856	-0.0241266	-0.024784	3.56096	0.485311	3.45825	0.622685	5.18963	0.11818	2.81649
3.73049	0.477897	5.35525	-0.147232	-0.376555	3.89365	0.311793	3.71772	0.62913	5.18754	0.139576	2.15412e-314
4.00323	0.557155	5.42269	-0.0274212	-0.00105176	4.19786	0.698311	3.97708	0.636689	5.18519	0.162724	2.53101
4.27852	0.558568	5.42887	-0.019379	0.0182265	4.30935	0.578564	4.23632	0.645449	5.18256	0.187614	2.15412e-314
4.53347	0.601929	5.31185	0.0250047	0.113815	4.61908	0.68951	4.49542	0.655498	5.17962	0.214238	0.928496
4.71166	0.72432	5.15168	0.142582	0.363753	4.35143	0.899174	4.75437	0.666921	5.17634	0.242587	2.15412e-314
4.96397	0.723028	5.04117	0.127245	0.293947	5.20901	0.66599	5.01315	0.679804	5.1727	0.272649	1.7409
5.26779	0.710316	5.12574	0.0976207	0.200665	5.51894	0.648233	5.27175	0.694234	5.16867	0.304413	2.15412e-314
5.52857	0.718221	5.24686	0.0934475	0.173418	5.22834	0.639362	5.53013	0.710295	5.16422	0.337868	1.83777
5.82851	0.72479	5.30988	0.0834038	0.135355	6.022	0.708619	5.78828	0.728072	5.15932	0.372999	2.15412e-314
